description,industry,level,size,line_code,value,Unit,Footnotes
Frequency of incorporation of the requirements of: customers: sometimes,"Electricity, gas, water, & waste services",1,total,C0601.02,18,Number of businesses,1 and 2 and 3 and 5 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Construction,1,total,C0601.02,690,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Wholesale trade,1,total,C0601.02,387,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Machinery & equipment wholesaling,2,total,C0601.02,111,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Other wholesale trade,2,total,C0601.02,273,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Retail trade,1,total,C0601.02,693,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Accommodation & food services,1,total,C0601.02,708,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,"Transport, postal, & warehousing",1,total,C0601.02,204,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Information media & telecommunications,1,total,C0601.02,30,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Publishing,2,total,C0601.02,15,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Motion picture,2,total,C0601.02,12,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Telecommunications,2,total,C0601.02,3,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Financial & insurance services,1,total,C0601.02,33,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Finance,2,total,C0601.02,9,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Insurance,2,total,C0601.02,3,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Auxiliary,2,total,C0601.02,24,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,"Rental, hiring, & real estate services",1,total,C0601.02,129,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,"Professional, scientific, & technical services",1,total,C0601.02,606,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Computer systems design,2,total,C0601.02,60,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Other professional scientific,2,total,C0601.02,549,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Administrative & support services,1,total,C0601.02,216,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Education & training,1,total,C0601.02,87,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Health care & social assistance,1,total,C0601.02,435,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Arts & recreation services,1,total,C0601.02,78,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Other services,1,total,C0601.02,261,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,total,0,total,C0601.02,5802,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,total,0,6019 employees,C0601.03,8829,Number of businesses,1 and 2 and 3 and 4 and 6
Frequency of incorporation of the requirements of: customers: frequently,total,0,20049 employees,C0601.03,2472,Number of businesses,1 and 2 and 3 and 4 and 6
Frequency of incorporation of the requirements of: customers: frequently,total,0,50099 employees,C0601.03,696,Number of businesses,1 and 2 and 3 and 4 and 6
Frequency of incorporation of the requirements of: customers: frequently,total,0,100+ employees,C0601.03,537,Number of businesses,1 and 2 and 3 and 4 and 6
Frequency of incorporation of the requirements of: customers: frequently,"Agriculture, forestry, & fishing",1,total,C0601.03,798,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Agriculture,2,total,C0601.03,471,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Commercial fishing,2,total,C0601.03,24,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Forestry & logging,2,total,C0601.03,66,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,"Agriculture, forestry, & fishing support services",2,total,C0601.03,237,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Mining,1,total,C0601.03,33,Number of businesses,1 and 2 and 3 and 5 and 6
Frequency of incorporation of the requirements of: customers: frequently,Manufacturing,1,total,C0601.03,1479,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,"Food, beverage, & tobacco",2,total,C0601.03,360,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,"Textile, clothing, footwear, & leather",2,total,C0601.03,78,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Wood & paper product,2,total,C0601.03,129,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,"Printing, publishing, & recorded media",2,total,C0601.03,51,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,"Petroleum, coal, chemical, & associated product",2,total,C0601.03,99,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Non-metallic mineral product,2,total,C0601.03,75,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Metal product,2,total,C0601.03,303,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Transport and industrial machinery & equipment,2,total,C0601.03,234,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Other machinery & equipment,2,total,C0601.03,60,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Other manufacturing,2,total,C0601.03,87,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,"Electricity, gas, water, & waste services",1,total,C0601.03,54,Number of businesses,1 and 2 and 3 and 5 and 6
Frequency of incorporation of the requirements of: customers: frequently,Construction,1,total,C0601.03,2154,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Wholesale trade,1,total,C0601.03,804,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Machinery & equipment wholesaling,2,total,C0601.03,237,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Other wholesale trade,2,total,C0601.03,564,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Retail trade,1,total,C0601.03,1275,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Accommodation & food services,1,total,C0601.03,1356,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,"Transport, postal, & warehousing",1,total,C0601.03,402,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Information media & telecommunications,1,total,C0601.03,138,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Publishing,2,total,C0601.03,60,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Motion picture,2,total,C0601.03,42,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Telecommunications,2,total,C0601.03,33,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Financial & insurance services,1,total,C0601.03,180,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Finance,2,total,C0601.03,51,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Insurance,2,total,C0601.03,9,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,Auxiliary,2,total,C0601.03,120,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: frequently,"Rental, hiring, & real estate services",1,total,C0601.03,201,Number of businesses,1 and 2 and 3 and 6
